rang;portal;unterbereich_nr;unterbereich;slug_vorschlag;benoetigt_detailkonzept;benoetigt_einzeldossier;benoetigt_online_detailkonzept;benoetigt_online_dossier;downloadpflicht;politische_anschlussfaehigkeit;sdg_sdgplus_bezug;toolbezug;status_alt;status_neu
0;SDG-/SDG+-Referenzrahmen;11;SDG+ digitale Selbstbestimmung;sdg-digitale-selbstbestimmung;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
0;SDG-/SDG+-Referenzrahmen;12;Glossar- und Referenzrahmen-Integration;glossar--und-referenzrahmen-integration;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
1;Produkte & Konsum / Wirkungsumsatzsteuer;1;Produkte als Wirkungsträger;produkte-als-wirkungstraeger;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
1;Produkte & Konsum / Wirkungsumsatzsteuer;2;Produktbesteuerung durch Wirkung;produktbesteuerung-durch-wirkung;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
1;Produkte & Konsum / Wirkungsumsatzsteuer;3;Wirkungsumsatzsteuer WUStG;wirkungsumsatzsteuer-wustg;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
1;Produkte & Konsum / Wirkungsumsatzsteuer;4;Apfelbeispiel und Preiswirkung;apfelbeispiel-und-preiswirkung;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
1;Produkte & Konsum / Wirkungsumsatzsteuer;5;Lieferketten und Vorsteuerlogik;lieferketten-und-vorsteuerlogik;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
1;Produkte & Konsum / Wirkungsumsatzsteuer;6;Konzernbeispiel BASF Polyamid und Produktscorecard;konzernbeispiel-basf-polyamid-und-produktscorecard;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
1;Produkte & Konsum / Wirkungsumsatzsteuer;7;Verbraucherinformation und Wirkungspunkte;verbraucherinformation-und-wirkungspunkte;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
1;Produkte & Konsum / Wirkungsumsatzsteuer;8;Digitale Produktpässe und Produktdatenräume;digitale-produktpaesse-und-produktdatenraeume;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
1;Produkte & Konsum / Wirkungsumsatzsteuer;9;Reverse Merit Order bei Produkten;reverse-merit-order-bei-produkten;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
1;Produkte & Konsum / Wirkungsumsatzsteuer;10;Produktwirkungsrechner und Scorecard-Demo;produktwirkungsrechner-und-scorecard-demo;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
1;Produkte & Konsum / Wirkungsumsatzsteuer;11;Unternehmensperspektive Produktwirkung;unternehmensperspektive-produktwirkung;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
1;Produkte & Konsum / Wirkungsumsatzsteuer;12;Politische Rahmenbedingungen der Produktwirkungssteuer;politische-rahmenbedingungen-der-produktwirkungssteuer;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;1;Impact Controlling als methodischer Unterbau;impact-controlling-als-methodischer-unterbau;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;2;T-SROI Transformational Social Return on Investment;t-sroi-transformational-social-return-on-investment;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;3;Netto-Wirkungs-Index NWI;netto-wirkungs-index-nwi;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;4;WÖk-IDs und Indikatorenarchitektur;woek-ids-und-indikatorenarchitektur;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;5;Scorecards und Benchmarks;scorecards-und-benchmarks;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;6;Reverse Merit Order und Nichtkompensation;reverse-merit-order-und-nichtkompensation;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;7;Archetypen und Branchenbenchmarks;archetypen-und-branchenbenchmarks;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;8;Datenqualität, Assurance und Auditierung;datenqualitaet-assurance-und-auditierung;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;9;Wirkungsdatenräume und digitale Produktpässe;wirkungsdatenraeume-und-digitale-produktpaesse;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;10;Scorecard-Generator und WÖk-ID-Browser;scorecard-generator-und-woek-id-browser;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;11;T-SROI-Rechner und Methodenbeispiele;t-sroi-rechner-und-methodenbeispiele;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;12;Politische Rahmenbedingungen fuer Wirkungsmessung;politische-rahmenbedingungen-fuer-wirkungsmessung;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
3;Staat, Recht & Demokratie / WStG / Wirkungsrat;1;Staat als Wirkungsarchitektur;staat-als-wirkungsarchitektur;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
3;Staat, Recht & Demokratie / WStG / Wirkungsrat;2;Wirkungssteuergesetz WStG als Rahmengesetz;wirkungssteuergesetz-wstg-als-rahmengesetz;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
3;Staat, Recht & Demokratie / WStG / Wirkungsrat;3;WUStG im Rechtsrahmen;wustg-im-rechtsrahmen;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
3;Staat, Recht & Demokratie / WStG / Wirkungsrat;4;Wirkungseinkommensteuer im Rechtsrahmen;wirkungseinkommensteuer-im-rechtsrahmen;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
3;Staat, Recht & Demokratie / WStG / Wirkungsrat;5;Wirkungshaushalt und öffentliche Mittel;wirkungshaushalt-und-oeffentliche-mittel;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
3;Staat, Recht & Demokratie / WStG / Wirkungsrat;6;Wirkungsrat und Governance;wirkungsrat-und-governance;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
3;Staat, Recht & Demokratie / WStG / Wirkungsrat;7;LawReader und Paragrafen-Navigator;lawreader-und-paragrafen-navigator;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
3;Staat, Recht & Demokratie / WStG / Wirkungsrat;8;Rechtsschutz, Verhältnismäßigkeit und Grundrechte;rechtsschutz-verhaeltnismaessigkeit-und-grundrechte;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
3;Staat, Recht & Demokratie / WStG / Wirkungsrat;9;Wirkungsprüfung von Gesetzen;wirkungspruefung-von-gesetzen;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
3;Staat, Recht & Demokratie / WStG / Wirkungsrat;10;Demokratie, Rechtsstaat und SDG+;demokratie-rechtsstaat-und-sdg;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
3;Staat, Recht & Demokratie / WStG / Wirkungsrat;11;Politische Ausgestaltungsspielräume;politische-ausgestaltungsspielraeume;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
3;Staat, Recht & Demokratie / WStG / Wirkungsrat;12;Schutz vor Technokratie und Machtmissbrauch;schutz-vor-technokratie-und-machtmissbrauch;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
4;Wirtschaft & Unternehmen;1;Unternehmen als Wirkungssysteme;unternehmen-als-wirkungssysteme;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
4;Wirtschaft & Unternehmen;2;Wirkungsorientierte Unternehmensführung;wirkungsorientierte-unternehmensfuehrung;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
4;Wirtschaft & Unternehmen;3;Wirkungsorientierte Mitarbeiterführung;wirkungsorientierte-mitarbeiterfuehrung;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
4;Wirtschaft & Unternehmen;4;Impact Controlling im Unternehmen;impact-controlling-im-unternehmen;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
4;Wirtschaft & Unternehmen;5;Risikomanagement und Wirkungsrisiko;risikomanagement-und-wirkungsrisiko;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
4;Wirtschaft & Unternehmen;6;Resiliente Wertschöpfungsketten;resiliente-wertschoepfungsketten;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
4;Wirtschaft & Unternehmen;7;Einkauf, Lieferketten und Due Diligence;einkauf-lieferketten-und-due-diligence;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
4;Wirtschaft & Unternehmen;8;Produktentwicklung und Produktscorecards;produktentwicklung-und-produktscorecards;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
4;Wirtschaft & Unternehmen;9;Marketing und das fünfte P Planet;marketing-und-das-fuenfte-p-planet;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
4;Wirtschaft & Unternehmen;10;Organisation, Kultur und Wirkungskompetenz;organisation-kultur-und-wirkungskompetenz;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
4;Wirtschaft & Unternehmen;11;Finanzmarktanforderungen, Banken, ESG-Ratings und Versicherungen;finanzmarktanforderungen-banken-esg-ratings-und-versicherungen;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
4;Wirtschaft & Unternehmen;12;Politische Rahmenbedingungen fuer Unternehmen;politische-rahmenbedingungen-fuer-unternehmen;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
5;Wohnen & Stadt;1;Wohnen als Wirkungsraum;wohnen-als-wirkungsraum;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
5;Wohnen & Stadt;2;Miete und Bezahlbarkeit;miete-und-bezahlbarkeit;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
5;Wohnen & Stadt;3;Investor:innen, Vermieter:innen und Eigentümer:innen;investor-innen-vermieter-innen-und-eigentuemer-innen;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
5;Wohnen & Stadt;4;Spekulationsschutz und Bodenpolitik;spekulationsschutz-und-bodenpolitik;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
5;Wohnen & Stadt;5;Sanierung, Energie und Warmmietenneutralität;sanierung-energie-und-warmmietenneutralitaet;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
5;Wohnen & Stadt;6;Gebäude- und Quartierswirkung;gebaeude--und-quartierswirkung;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
5;Wohnen & Stadt;7;Kommunale Wohnungspolitik und Wohnwirkungshaushalt;kommunale-wohnungspolitik-und-wohnwirkungshaushalt;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
5;Wohnen & Stadt;8;Stranded Assets im Wohnungsmarkt;stranded-assets-im-wohnungsmarkt;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
5;Wohnen & Stadt;9;Wohnwirkungsindex WIX-Wohn;wohnwirkungsindex-wix-wohn;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
5;Wohnen & Stadt;10;Dossiers fuer Mieter:innen, Vermieter:innen und Kommunen;dossiers-fuer-mieter-innen-vermieter-innen-und-kommunen;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
5;Wohnen & Stadt;11;Wohnwirkungsrechner und Sanierungswirkungsrechner;wohnwirkungsrechner-und-sanierungswirkungsrechner;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
5;Wohnen & Stadt;12;Politische Anschlussfähigkeit im Wohnungsmarkt;politische-anschlussfaehigkeit-im-wohnungsmarkt;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
6;Arbeit & Einkommen / Automatisierung;1;Arbeit, Einkommen und Wirkung;arbeit-einkommen-und-wirkung;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
6;Arbeit & Einkommen / Automatisierung;2;Automatisierung und Maschinenleistung;automatisierung-und-maschinenleistung;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
6;Arbeit & Einkommen / Automatisierung;3;Wirkungseinkommen;wirkungseinkommen;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
