rang,portal,page_type,slug,status,notes
15,Migration & Vielfalt,konzeptpapier,/portale/migration-und-vielfalt/konzeptpapier/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
15,Migration & Vielfalt,gesamtdossier,/portale/migration-und-vielfalt/gesamtdossier/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
15,Migration & Vielfalt,downloads,/portale/migration-und-vielfalt/downloads/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
15,Migration & Vielfalt,toolkarten,/portale/migration-und-vielfalt/toolkarten/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
15,Migration & Vielfalt,sdg-sdgplus,/portale/migration-und-vielfalt/sdg-sdgplus/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
15,Migration & Vielfalt,politische-anschlussfaehigkeit,/portale/migration-und-vielfalt/politische-anschlussfaehigkeit/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
16,"Sicherheit, Resilienz & globale Kooperation",Portalstartseite,/portale/sicherheit-resilienz-und-globale-kooperation/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
16,"Sicherheit, Resilienz & globale Kooperation",konzeptpapier,/portale/sicherheit-resilienz-und-globale-kooperation/konzeptpapier/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
16,"Sicherheit, Resilienz & globale Kooperation",gesamtdossier,/portale/sicherheit-resilienz-und-globale-kooperation/gesamtdossier/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
16,"Sicherheit, Resilienz & globale Kooperation",downloads,/portale/sicherheit-resilienz-und-globale-kooperation/downloads/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
16,"Sicherheit, Resilienz & globale Kooperation",toolkarten,/portale/sicherheit-resilienz-und-globale-kooperation/toolkarten/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
16,"Sicherheit, Resilienz & globale Kooperation",sdg-sdgplus,/portale/sicherheit-resilienz-und-globale-kooperation/sdg-sdgplus/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
16,"Sicherheit, Resilienz & globale Kooperation",politische-anschlussfaehigkeit,/portale/sicherheit-resilienz-und-globale-kooperation/politische-anschlussfaehigkeit/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
17,"Digitalisierung, KI & Wirkungsdatenraeume",Portalstartseite,/portale/digitalisierung-ki-und-wirkungsdatenraeume/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
17,"Digitalisierung, KI & Wirkungsdatenraeume",konzeptpapier,/portale/digitalisierung-ki-und-wirkungsdatenraeume/konzeptpapier/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
17,"Digitalisierung, KI & Wirkungsdatenraeume",gesamtdossier,/portale/digitalisierung-ki-und-wirkungsdatenraeume/gesamtdossier/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
17,"Digitalisierung, KI & Wirkungsdatenraeume",downloads,/portale/digitalisierung-ki-und-wirkungsdatenraeume/downloads/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
17,"Digitalisierung, KI & Wirkungsdatenraeume",toolkarten,/portale/digitalisierung-ki-und-wirkungsdatenraeume/toolkarten/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
17,"Digitalisierung, KI & Wirkungsdatenraeume",sdg-sdgplus,/portale/digitalisierung-ki-und-wirkungsdatenraeume/sdg-sdgplus/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
17,"Digitalisierung, KI & Wirkungsdatenraeume",politische-anschlussfaehigkeit,/portale/digitalisierung-ki-und-wirkungsdatenraeume/politische-anschlussfaehigkeit/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
18,"Wissen, Wissenschaft, Forschung & Wirkungsinnovation",Portalstartseite,/portale/wissen-wissenschaft-forschung-und-wirkungsinnovation/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
18,"Wissen, Wissenschaft, Forschung & Wirkungsinnovation",konzeptpapier,/portale/wissen-wissenschaft-forschung-und-wirkungsinnovation/konzeptpapier/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
18,"Wissen, Wissenschaft, Forschung & Wirkungsinnovation",gesamtdossier,/portale/wissen-wissenschaft-forschung-und-wirkungsinnovation/gesamtdossier/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
18,"Wissen, Wissenschaft, Forschung & Wirkungsinnovation",downloads,/portale/wissen-wissenschaft-forschung-und-wirkungsinnovation/downloads/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
18,"Wissen, Wissenschaft, Forschung & Wirkungsinnovation",toolkarten,/portale/wissen-wissenschaft-forschung-und-wirkungsinnovation/toolkarten/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
18,"Wissen, Wissenschaft, Forschung & Wirkungsinnovation",sdg-sdgplus,/portale/wissen-wissenschaft-forschung-und-wirkungsinnovation/sdg-sdgplus/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
18,"Wissen, Wissenschaft, Forschung & Wirkungsinnovation",politische-anschlussfaehigkeit,/portale/wissen-wissenschaft-forschung-und-wirkungsinnovation/politische-anschlussfaehigkeit/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
19,"Internationale Ordnung, Globalisierung & Geopolitik",Portalstartseite,/portale/internationale-ordnung-globalisierung-und-geopolitik/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
19,"Internationale Ordnung, Globalisierung & Geopolitik",konzeptpapier,/portale/internationale-ordnung-globalisierung-und-geopolitik/konzeptpapier/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
19,"Internationale Ordnung, Globalisierung & Geopolitik",gesamtdossier,/portale/internationale-ordnung-globalisierung-und-geopolitik/gesamtdossier/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
19,"Internationale Ordnung, Globalisierung & Geopolitik",downloads,/portale/internationale-ordnung-globalisierung-und-geopolitik/downloads/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
19,"Internationale Ordnung, Globalisierung & Geopolitik",toolkarten,/portale/internationale-ordnung-globalisierung-und-geopolitik/toolkarten/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
19,"Internationale Ordnung, Globalisierung & Geopolitik",sdg-sdgplus,/portale/internationale-ordnung-globalisierung-und-geopolitik/sdg-sdgplus/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
19,"Internationale Ordnung, Globalisierung & Geopolitik",politische-anschlussfaehigkeit,/portale/internationale-ordnung-globalisierung-und-geopolitik/politische-anschlussfaehigkeit/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
20,"Transformation, Uebergaenge & Implementierung",Portalstartseite,/portale/transformation-uebergaenge-und-implementierung/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
20,"Transformation, Uebergaenge & Implementierung",konzeptpapier,/portale/transformation-uebergaenge-und-implementierung/konzeptpapier/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
20,"Transformation, Uebergaenge & Implementierung",gesamtdossier,/portale/transformation-uebergaenge-und-implementierung/gesamtdossier/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
20,"Transformation, Uebergaenge & Implementierung",downloads,/portale/transformation-uebergaenge-und-implementierung/downloads/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
20,"Transformation, Uebergaenge & Implementierung",toolkarten,/portale/transformation-uebergaenge-und-implementierung/toolkarten/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
20,"Transformation, Uebergaenge & Implementierung",sdg-sdgplus,/portale/transformation-uebergaenge-und-implementierung/sdg-sdgplus/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
20,"Transformation, Uebergaenge & Implementierung",politische-anschlussfaehigkeit,/portale/transformation-uebergaenge-und-implementierung/politische-anschlussfaehigkeit/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
21,"Kritik, Missverstaendnisse & Schutzarchitektur",Portalstartseite,/portale/kritik-missverstaendnisse-und-schutzarchitektur/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
21,"Kritik, Missverstaendnisse & Schutzarchitektur",konzeptpapier,/portale/kritik-missverstaendnisse-und-schutzarchitektur/konzeptpapier/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
21,"Kritik, Missverstaendnisse & Schutzarchitektur",gesamtdossier,/portale/kritik-missverstaendnisse-und-schutzarchitektur/gesamtdossier/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
21,"Kritik, Missverstaendnisse & Schutzarchitektur",downloads,/portale/kritik-missverstaendnisse-und-schutzarchitektur/downloads/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
21,"Kritik, Missverstaendnisse & Schutzarchitektur",toolkarten,/portale/kritik-missverstaendnisse-und-schutzarchitektur/toolkarten/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
21,"Kritik, Missverstaendnisse & Schutzarchitektur",sdg-sdgplus,/portale/kritik-missverstaendnisse-und-schutzarchitektur/sdg-sdgplus/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
21,"Kritik, Missverstaendnisse & Schutzarchitektur",politische-anschlussfaehigkeit,/portale/kritik-missverstaendnisse-und-schutzarchitektur/politische-anschlussfaehigkeit/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
22,"Zukunftsbilder, Wirkungswohlstand & zivilisatorische Perspektive",Portalstartseite,/portale/zukunftsbilder-wirkungswohlstand-und-zivilisatorische-perspektive/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
22,"Zukunftsbilder, Wirkungswohlstand & zivilisatorische Perspektive",konzeptpapier,/portale/zukunftsbilder-wirkungswohlstand-und-zivilisatorische-perspektive/konzeptpapier/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
22,"Zukunftsbilder, Wirkungswohlstand & zivilisatorische Perspektive",gesamtdossier,/portale/zukunftsbilder-wirkungswohlstand-und-zivilisatorische-perspektive/gesamtdossier/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
22,"Zukunftsbilder, Wirkungswohlstand & zivilisatorische Perspektive",downloads,/portale/zukunftsbilder-wirkungswohlstand-und-zivilisatorische-perspektive/downloads/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
22,"Zukunftsbilder, Wirkungswohlstand & zivilisatorische Perspektive",toolkarten,/portale/zukunftsbilder-wirkungswohlstand-und-zivilisatorische-perspektive/toolkarten/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
22,"Zukunftsbilder, Wirkungswohlstand & zivilisatorische Perspektive",sdg-sdgplus,/portale/zukunftsbilder-wirkungswohlstand-und-zivilisatorische-perspektive/sdg-sdgplus/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
22,"Zukunftsbilder, Wirkungswohlstand & zivilisatorische Perspektive",politische-anschlussfaehigkeit,/portale/zukunftsbilder-wirkungswohlstand-und-zivilisatorische-perspektive/politische-anschlussfaehigkeit/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
23,"Wirkungsakademie, Fachbibliothek & Wirkungskompetenz",Portalstartseite,/portale/wirkungsakademie-fachbibliothek-und-wirkungskompetenz/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
23,"Wirkungsakademie, Fachbibliothek & Wirkungskompetenz",konzeptpapier,/portale/wirkungsakademie-fachbibliothek-und-wirkungskompetenz/konzeptpapier/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
23,"Wirkungsakademie, Fachbibliothek & Wirkungskompetenz",gesamtdossier,/portale/wirkungsakademie-fachbibliothek-und-wirkungskompetenz/gesamtdossier/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
23,"Wirkungsakademie, Fachbibliothek & Wirkungskompetenz",downloads,/portale/wirkungsakademie-fachbibliothek-und-wirkungskompetenz/downloads/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
23,"Wirkungsakademie, Fachbibliothek & Wirkungskompetenz",toolkarten,/portale/wirkungsakademie-fachbibliothek-und-wirkungskompetenz/toolkarten/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
23,"Wirkungsakademie, Fachbibliothek & Wirkungskompetenz",sdg-sdgplus,/portale/wirkungsakademie-fachbibliothek-und-wirkungskompetenz/sdg-sdgplus/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
23,"Wirkungsakademie, Fachbibliothek & Wirkungskompetenz",politische-anschlussfaehigkeit,/portale/wirkungsakademie-fachbibliothek-und-wirkungskompetenz/politische-anschlussfaehigkeit/,erforderlich,Onlinefassung mit PDF- und PDF-Download.
24,"Masterbibliothek, Downloadzentrum & Website-1.0-Releasepruefung",Portalstartseite,/portale/website-1-0-release/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
global,Fachbibliothek,global,/fachbibliothek/,erforderlich,Muss in Website 1.0 vorhanden sein.
global,Downloadzentrum,global,/downloads/,erforderlich,Muss in Website 1.0 vorhanden sein.
global,Wirkungsakademie,global,/akademie/,erforderlich,Muss in Website 1.0 vorhanden sein.
global,Glossar,global,/glossar/,erforderlich,Muss in Website 1.0 vorhanden sein.
global,Toolzentrum,global,/tools/,erforderlich,Muss in Website 1.0 vorhanden sein.
global,SDG-/SDG+-Referenz,global,/sdg-sdgplus/,erforderlich,Muss in Website 1.0 vorhanden sein.
global,Release-Status Website 1.0,global,/website-1-0-release/,erforderlich,Muss in Website 1.0 vorhanden sein.
