SDG,Target,Globaler Inhalt (paraphrasiert),Europa/Deutschland-Bezug,Wirkungsökonomische Bedeutung
SDG 3 - Gesundheit und Wohlergehen,3.3,Übertragbare Krankheiten bekämpfen.,"Europa/Deutschland: Prävention, Gesundheitsgerechtigkeit, Pflege, psychische Gesundheit, Umweltgesundheit, Versorgungssicherheit und Public Health operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 3 - Gesundheit und Wohlergehen,3.4,Nichtübertragbare Krankheiten und psychische Gesundheit adressieren.,"Europa/Deutschland: Prävention, Gesundheitsgerechtigkeit, Pflege, psychische Gesundheit, Umweltgesundheit, Versorgungssicherheit und Public Health operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 3 - Gesundheit und Wohlergehen,3.5,Suchtprävention und Behandlung stärken.,"Europa/Deutschland: Prävention, Gesundheitsgerechtigkeit, Pflege, psychische Gesundheit, Umweltgesundheit, Versorgungssicherheit und Public Health operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 3 - Gesundheit und Wohlergehen,3.6,Verkehrstote und -verletzte reduzieren.,"Europa/Deutschland: Prävention, Gesundheitsgerechtigkeit, Pflege, psychische Gesundheit, Umweltgesundheit, Versorgungssicherheit und Public Health operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 3 - Gesundheit und Wohlergehen,3.7,Sexuelle und reproduktive Gesundheit sowie Familienplanung sichern.,"Europa/Deutschland: Prävention, Gesundheitsgerechtigkeit, Pflege, psychische Gesundheit, Umweltgesundheit, Versorgungssicherheit und Public Health operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 3 - Gesundheit und Wohlergehen,3.8,Universelle Gesundheitsversorgung und bezahlbare Medikamente stärken.,"Europa/Deutschland: Prävention, Gesundheitsgerechtigkeit, Pflege, psychische Gesundheit, Umweltgesundheit, Versorgungssicherheit und Public Health operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 3 - Gesundheit und Wohlergehen,3.9,"Umweltbedingte Gesundheitsrisiken durch Luft, Wasser, Chemikalien senken.","Europa/Deutschland: Prävention, Gesundheitsgerechtigkeit, Pflege, psychische Gesundheit, Umweltgesundheit, Versorgungssicherheit und Public Health operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 3 - Gesundheit und Wohlergehen,3.a,Tabakkontrolle stärken.,"Europa/Deutschland: Prävention, Gesundheitsgerechtigkeit, Pflege, psychische Gesundheit, Umweltgesundheit, Versorgungssicherheit und Public Health operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 3 - Gesundheit und Wohlergehen,3.b,"Forschung, Impfstoffe und Medikamente fördern.","Europa/Deutschland: Prävention, Gesundheitsgerechtigkeit, Pflege, psychische Gesundheit, Umweltgesundheit, Versorgungssicherheit und Public Health operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 3 - Gesundheit und Wohlergehen,3.c,Gesundheitspersonal und Gesundheitsfinanzierung stärken.,"Europa/Deutschland: Prävention, Gesundheitsgerechtigkeit, Pflege, psychische Gesundheit, Umweltgesundheit, Versorgungssicherheit und Public Health operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 3 - Gesundheit und Wohlergehen,3.d,"Frühwarn-, Risiko- und Krisenfähigkeiten im Gesundheitswesen ausbauen.","Europa/Deutschland: Prävention, Gesundheitsgerechtigkeit, Pflege, psychische Gesundheit, Umweltgesundheit, Versorgungssicherheit und Public Health operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 4 - Hochwertige Bildung,4.1,"Kostenfreie, inklusive und hochwertige Grund- und Sekundarbildung sichern.","Europa/Deutschland: Bildungsgerechtigkeit, frühe Förderung, Future Skills, digitale Mündigkeit, Lehrkräfte, BNE und Wirkungskompetenz in Schulen und Weiterbildung übersetzen.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 4 - Hochwertige Bildung,4.2,Frühkindliche Entwicklung und Vorschulbildung verbessern.,"Europa/Deutschland: Bildungsgerechtigkeit, frühe Förderung, Future Skills, digitale Mündigkeit, Lehrkräfte, BNE und Wirkungskompetenz in Schulen und Weiterbildung übersetzen.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 4 - Hochwertige Bildung,4.3,Berufliche und tertiäre Bildung zugänglich machen.,"Europa/Deutschland: Bildungsgerechtigkeit, frühe Förderung, Future Skills, digitale Mündigkeit, Lehrkräfte, BNE und Wirkungskompetenz in Schulen und Weiterbildung übersetzen.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 4 - Hochwertige Bildung,4.4,Future Skills und beschäftigungsrelevante Kompetenzen stärken.,"Europa/Deutschland: Bildungsgerechtigkeit, frühe Förderung, Future Skills, digitale Mündigkeit, Lehrkräfte, BNE und Wirkungskompetenz in Schulen und Weiterbildung übersetzen.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 4 - Hochwertige Bildung,4.5,Bildungsungleichheiten abbauen.,"Europa/Deutschland: Bildungsgerechtigkeit, frühe Förderung, Future Skills, digitale Mündigkeit, Lehrkräfte, BNE und Wirkungskompetenz in Schulen und Weiterbildung übersetzen.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 4 - Hochwertige Bildung,4.6,"Grundbildung, Lesen, Schreiben und Rechnen sichern.","Europa/Deutschland: Bildungsgerechtigkeit, frühe Förderung, Future Skills, digitale Mündigkeit, Lehrkräfte, BNE und Wirkungskompetenz in Schulen und Weiterbildung übersetzen.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 4 - Hochwertige Bildung,4.7,"Bildung für nachhaltige Entwicklung, Menschenrechte und globale Bürgerschaft fördern.","Europa/Deutschland: Bildungsgerechtigkeit, frühe Förderung, Future Skills, digitale Mündigkeit, Lehrkräfte, BNE und Wirkungskompetenz in Schulen und Weiterbildung übersetzen.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 4 - Hochwertige Bildung,4.a,"Sichere, inklusive und wirksame Lernumgebungen schaffen.","Europa/Deutschland: Bildungsgerechtigkeit, frühe Förderung, Future Skills, digitale Mündigkeit, Lehrkräfte, BNE und Wirkungskompetenz in Schulen und Weiterbildung übersetzen.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 4 - Hochwertige Bildung,4.b,Bildungsstipendien und internationale Bildungschancen fördern.,"Europa/Deutschland: Bildungsgerechtigkeit, frühe Förderung, Future Skills, digitale Mündigkeit, Lehrkräfte, BNE und Wirkungskompetenz in Schulen und Weiterbildung übersetzen.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 4 - Hochwertige Bildung,4.c,"Lehrkräfte gewinnen, qualifizieren und unterstützen.","Europa/Deutschland: Bildungsgerechtigkeit, frühe Förderung, Future Skills, digitale Mündigkeit, Lehrkräfte, BNE und Wirkungskompetenz in Schulen und Weiterbildung übersetzen.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 5 - Geschlechtergleichstellung,5.1,Diskriminierung von Frauen und Mädchen beenden.,"Europa/Deutschland: Gleichstellung, Care, Lohnlücke, Gewaltprävention, Führungszugang, Vereinbarkeit und strukturelle Diskriminierung adressieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 5 - Geschlechtergleichstellung,5.2,Gewalt gegen Frauen und Mädchen beenden.,"Europa/Deutschland: Gleichstellung, Care, Lohnlücke, Gewaltprävention, Führungszugang, Vereinbarkeit und strukturelle Diskriminierung adressieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 5 - Geschlechtergleichstellung,5.3,Schädliche Praktiken wie Kinderheirat und Genitalverstümmelung beenden.,"Europa/Deutschland: Gleichstellung, Care, Lohnlücke, Gewaltprävention, Führungszugang, Vereinbarkeit und strukturelle Diskriminierung adressieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 5 - Geschlechtergleichstellung,5.4,Unbezahlte Sorge- und Hausarbeit anerkennen und umverteilen.,"Europa/Deutschland: Gleichstellung, Care, Lohnlücke, Gewaltprävention, Führungszugang, Vereinbarkeit und strukturelle Diskriminierung adressieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 5 - Geschlechtergleichstellung,5.5,Volle Teilhabe und Führungschancen sichern.,"Europa/Deutschland: Gleichstellung, Care, Lohnlücke, Gewaltprävention, Führungszugang, Vereinbarkeit und strukturelle Diskriminierung adressieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 5 - Geschlechtergleichstellung,5.6,Sexuelle und reproduktive Rechte stärken.,"Europa/Deutschland: Gleichstellung, Care, Lohnlücke, Gewaltprävention, Führungszugang, Vereinbarkeit und strukturelle Diskriminierung adressieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 5 - Geschlechtergleichstellung,5.a,"Gleiche Rechte an Ressourcen, Eigentum und Finanzen sichern.","Europa/Deutschland: Gleichstellung, Care, Lohnlücke, Gewaltprävention, Führungszugang, Vereinbarkeit und strukturelle Diskriminierung adressieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 5 - Geschlechtergleichstellung,5.b,Technologie zur Stärkung von Frauen nutzen.,"Europa/Deutschland: Gleichstellung, Care, Lohnlücke, Gewaltprävention, Führungszugang, Vereinbarkeit und strukturelle Diskriminierung adressieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 5 - Geschlechtergleichstellung,5.c,Politiken und Gesetze zur Gleichstellung stärken.,"Europa/Deutschland: Gleichstellung, Care, Lohnlücke, Gewaltprävention, Führungszugang, Vereinbarkeit und strukturelle Diskriminierung adressieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 6 - Sauberes Wasser und Sanitäreinrichtungen,6.1,Zugang zu sicherem Trinkwasser für alle sichern.,"Europa/Deutschland: Wasserqualität, Dürre, Grundwasser, Hochwasser, Abwasser, Wassereffizienz und Wasserrisiken in Kommunen und Lieferketten steuern.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 6 - Sauberes Wasser und Sanitäreinrichtungen,6.2,Sanitärversorgung und Hygiene für alle sichern.,"Europa/Deutschland: Wasserqualität, Dürre, Grundwasser, Hochwasser, Abwasser, Wassereffizienz und Wasserrisiken in Kommunen und Lieferketten steuern.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 6 - Sauberes Wasser und Sanitäreinrichtungen,6.3,Wasserqualität verbessern und Verschmutzung reduzieren.,"Europa/Deutschland: Wasserqualität, Dürre, Grundwasser, Hochwasser, Abwasser, Wassereffizienz und Wasserrisiken in Kommunen und Lieferketten steuern.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 6 - Sauberes Wasser und Sanitäreinrichtungen,6.4,Wassereffizienz steigern und Wasserknappheit reduzieren.,"Europa/Deutschland: Wasserqualität, Dürre, Grundwasser, Hochwasser, Abwasser, Wassereffizienz und Wasserrisiken in Kommunen und Lieferketten steuern.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 6 - Sauberes Wasser und Sanitäreinrichtungen,6.5,Integriertes Wasserressourcenmanagement umsetzen.,"Europa/Deutschland: Wasserqualität, Dürre, Grundwasser, Hochwasser, Abwasser, Wassereffizienz und Wasserrisiken in Kommunen und Lieferketten steuern.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 6 - Sauberes Wasser und Sanitäreinrichtungen,6.6,Wasserbezogene Ökosysteme schützen und wiederherstellen.,"Europa/Deutschland: Wasserqualität, Dürre, Grundwasser, Hochwasser, Abwasser, Wassereffizienz und Wasserrisiken in Kommunen und Lieferketten steuern.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 6 - Sauberes Wasser und Sanitäreinrichtungen,6.a,Internationale Kooperation und Kapazitäten für Wasser stärken.,"Europa/Deutschland: Wasserqualität, Dürre, Grundwasser, Hochwasser, Abwasser, Wassereffizienz und Wasserrisiken in Kommunen und Lieferketten steuern.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 6 - Sauberes Wasser und Sanitäreinrichtungen,6.b,Lokale Beteiligung im Wassermanagement unterstützen.,"Europa/Deutschland: Wasserqualität, Dürre, Grundwasser, Hochwasser, Abwasser, Wassereffizienz und Wasserrisiken in Kommunen und Lieferketten steuern.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 7 - Bezahlbare und saubere Energie,7.1,Zugang zu bezahlbarer und moderner Energie sichern.,"Europa/Deutschland: Energiearmut, Erneuerbare, Netze, Speicher, Effizienz, Versorgungssicherheit und gerechte Transformation verbinden.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 7 - Bezahlbare und saubere Energie,7.2,Anteil erneuerbarer Energien erhöhen.,"Europa/Deutschland: Energiearmut, Erneuerbare, Netze, Speicher, Effizienz, Versorgungssicherheit und gerechte Transformation verbinden.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 7 - Bezahlbare und saubere Energie,7.3,Energieeffizienz verbessern.,"Europa/Deutschland: Energiearmut, Erneuerbare, Netze, Speicher, Effizienz, Versorgungssicherheit und gerechte Transformation verbinden.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 7 - Bezahlbare und saubere Energie,7.a,Internationale Kooperation zu sauberer Energie und Forschung stärken.,"Europa/Deutschland: Energiearmut, Erneuerbare, Netze, Speicher, Effizienz, Versorgungssicherheit und gerechte Transformation verbinden.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 7 - Bezahlbare und saubere Energie,7.b,Energieinfrastruktur und saubere Technologien ausbauen.,"Europa/Deutschland: Energiearmut, Erneuerbare, Netze, Speicher, Effizienz, Versorgungssicherheit und gerechte Transformation verbinden.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
