observation_id,company_id,company_name,year,dimension,woek_field,indicator_id,indicator,raw_value,unit,data_quality_class,source_id,source_url,source_anchor,extraction_method,confidence,note
uwpobs-d5e8cab0c9973503,uwp100-adesso-se,Adesso SE,2024,Transformation,EU-Taxonomie,taxonomy_aligned_revenue_share,Taxonomie-konformer Umsatzanteil,,%,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-bcd9e6b78ee02c2b,uwp100-adidas,Adidas,2024,Datenqualität,Quellenstand,sbti_date_updated,SBTi Datenstand,2024-12-05,Datum,A,sbti-target-dashboard,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Adidas AG,official_xlsx_import:safe_name_match,0.86,SBTi-Zieldaten; kein Nachweis tatsächlicher Emissionsreduktion.
uwpobs-124f2838f914a210,uwp100-adidas,Adidas,2019,Demokratie,Korruption/Compliance,wikirate_gri_corruption_incidents,GRI 205-3 confirmed incidents of corruption,44,incidents,C,wikirate-open-esg,https://wikirate.org/~6498889,https://wikirate.org/~6032219,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-0b943fbd3c75c32d,uwp100-adidas,Adidas,2018,Demokratie,Korruption/Compliance,wikirate_gri_corruption_incidents,GRI 205-3 confirmed incidents of corruption,40,incidents,C,wikirate-open-esg,https://wikirate.org/~7162680,https://wikirate.org/~5508989,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-014019005d9741d4,uwp100-adidas,Adidas,2019,Demokratie,Rechtskonformität/Umwelt,wikirate_gri_environmental_fines,GRI 307-1 environmental fines,0,USD,C,wikirate-open-esg,https://wikirate.org/~6032215,https://wikirate.org/~6032161,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-917637c155b5fe64,uwp100-adidas,Adidas,2018,Demokratie,Rechtskonformität/Umwelt,wikirate_gri_environmental_fines,GRI 307-1 environmental fines,0,USD,C,wikirate-open-esg,https://wikirate.org/~6032211,https://wikirate.org/~5621504,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-ffe055c0d65546ec,uwp100-adidas,Adidas,2017,Demokratie,Rechtskonformität/Umwelt,wikirate_gri_environmental_fines,GRI 307-1 environmental fines,0,USD,C,wikirate-open-esg,https://wikirate.org/~6032207,https://wikirate.org/~6032152,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-4e5e4d08c6537d26,uwp100-adidas,Adidas,2017,Mensch,Diversität/Belegschaft,wikirate_gri_female_employees_share,GRI G4-LA12 female employees share,50,%,C,wikirate-open-esg,https://wikirate.org/~3515969,https://wikirate.org/~3515931,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-c3b53c180248a4bc,uwp100-adidas,Adidas,2016,Mensch,Diversität/Belegschaft,wikirate_gri_female_employees_share,GRI G4-LA12 female employees share,50,%,C,wikirate-open-esg,https://wikirate.org/~3447089,https://wikirate.org/~3445289,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-aab1a45354736d29,uwp100-adidas,Adidas,2015,Mensch,Diversität/Belegschaft,wikirate_gri_female_employees_share,GRI G4-LA12 female employees share,50,%,C,wikirate-open-esg,https://wikirate.org/~2008802,https://wikirate.org/~1826107,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-9c5129d826bb32ba,uwp100-adidas,Adidas,2014,Mensch,Diversität/Belegschaft,wikirate_gri_female_employees_share,GRI G4-LA12 female employees share,50,%,C,wikirate-open-esg,https://wikirate.org/~2323547,https://wikirate.org/~1826107,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-86482720a10a9d96,uwp100-adidas,Adidas,2013,Mensch,Diversität/Belegschaft,wikirate_gri_female_employees_share,GRI G4-LA12 female employees share,49,%,C,wikirate-open-esg,https://wikirate.org/~2323552,https://wikirate.org/~1826107,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-153f7a154f66ce74,uwp100-adidas,Adidas,2012,Mensch,Diversität/Belegschaft,wikirate_gri_female_employees_share,GRI G4-LA12 female employees share,50,%,C,wikirate-open-esg,https://wikirate.org/~3447865,https://wikirate.org/~3447862,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-56f67d589b8d0d7f,uwp100-adidas,Adidas,2011,Mensch,Diversität/Belegschaft,wikirate_gri_female_employees_share,GRI G4-LA12 female employees share,50,%,C,wikirate-open-esg,https://wikirate.org/~3447929,https://wikirate.org/~3447886,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-6fa3c3b8248a76b9,uwp100-adidas,Adidas,2010,Mensch,Diversität/Belegschaft,wikirate_gri_female_employees_share,GRI G4-LA12 female employees share,48,%,C,wikirate-open-esg,https://wikirate.org/~3447935,https://wikirate.org/~3447899,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-c39f02bc622e6a73,uwp100-adidas,Adidas,2009,Mensch,Diversität/Belegschaft,wikirate_gri_female_employees_share,GRI G4-LA12 female employees share,50,%,C,wikirate-open-esg,https://wikirate.org/~3447945,https://wikirate.org/~3447941,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-64c47de21dcff521,uwp100-adidas,Adidas,2008,Mensch,Diversität/Belegschaft,wikirate_gri_female_employees_share,GRI G4-LA12 female employees share,49,%,C,wikirate-open-esg,https://wikirate.org/~3447956,https://wikirate.org/~3447952,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-cb0cf8a83aec7a39,uwp100-adidas,Adidas,2007,Mensch,Diversität/Belegschaft,wikirate_gri_female_employees_share,GRI G4-LA12 female employees share,48,%,C,wikirate-open-esg,https://wikirate.org/~3447967,https://wikirate.org/~3447963,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-644b7b8d9ad35736,uwp100-adidas,Adidas,2005,Mensch,Diversität/Belegschaft,wikirate_gri_female_employees_share,GRI G4-LA12 female employees share,47,%,C,wikirate-open-esg,https://wikirate.org/~3504229,https://wikirate.org/~3479077,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-c5926d5532e63d0e,uwp100-adidas,Adidas,2004,Mensch,Diversität/Belegschaft,wikirate_gri_female_employees_share,GRI G4-LA12 female employees share,45,%,C,wikirate-open-esg,https://wikirate.org/~3504269,https://wikirate.org/~3504145,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-49075bae4f732a04,uwp100-adidas,Adidas,2003,Mensch,Diversität/Belegschaft,wikirate_gri_female_employees_share,GRI G4-LA12 female employees share,45,%,C,wikirate-open-esg,https://wikirate.org/~3504298,https://wikirate.org/~3504149,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-f420d9ec158bf4d0,uwp100-adidas,Adidas,2002,Mensch,Diversität/Belegschaft,wikirate_gri_female_employees_share,GRI G4-LA12 female employees share,44,%,C,wikirate-open-esg,https://wikirate.org/~3504320,https://wikirate.org/~3504153,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-5dc865f71ff674aa,uwp100-adidas,Adidas,2023,Mensch,Qualifizierung,wikirate_gri_training_hours,GRI 404-1 average hours of training,17.9,hours,C,wikirate-open-esg,https://wikirate.org/~18083278,https://wikirate.org/~18074968,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-87b00109f35d0864,uwp100-adidas,Adidas,2023,Mensch,Arbeitssicherheit,wikirate_gri_worker_fatalities,GRI 403-9 worker fatalities,1,count,C,wikirate-open-esg,https://wikirate.org/~18083524,https://wikirate.org/~18074968,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-c06854541ee5fd06,uwp100-adidas,Adidas,2020,Mensch,Arbeitssicherheit,wikirate_gri_worker_fatalities,GRI 403-9 worker fatalities,0,count,C,wikirate-open-esg,https://wikirate.org/~14552873,https://wikirate.org/~14551665,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-2faa89cc20e02e1d,uwp100-adidas,Adidas,2024,Planet,Klima/Transformationspfad,sbti_full_target_language,SBTi Zieltext,"Overall Net-Zero Target: adidas AG commits to reach net-zero greenhouse gas emissions across the value chain by 2050. Near-Term Targets: adidas AG commits to reduce absolute scope 1 and 2 GHG emissions 70% by 2030 from a 2022 base year*. adidas AG also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, fuel- and energy-related activities, upstream and downstream transportation and distribution, business travel, end-of-life treatment of sold products and downstream leased assets 42% within the same timeframe*. 
*The target boundary includes land-related emisisons and removals from bioenergy feedstocks.  Long-Term Targets: adidas AG commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from 2022 base year. adidas AG also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.*
*The target boundary includes land-related emisisons and removals from bioenergy feedstocks.                ",Text,B,sbti-target-dashboard,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Adidas AG,official_xlsx_import:safe_name_match,0.86,SBTi-Zieldaten; kein Nachweis tatsächlicher Emissionsreduktion.
uwpobs-4f1f4f1f12eb83b3,uwp100-adidas,Adidas,2024,Planet,Klima/Transformationspfad,sbti_near_term_status,SBTi Near-Term Zielstatus,Targets set,Status,A,sbti-target-dashboard,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Adidas AG,official_xlsx_import:safe_name_match,0.86,SBTi-Zieldaten; kein Nachweis tatsächlicher Emissionsreduktion.
uwpobs-6109bf60e3e3eb2f,uwp100-adidas,Adidas,2024,Planet,Klima/Transformationspfad,sbti_near_term_target_classification,SBTi Near-Term Zielklassifikation,1.5°C,Klassifikation,A,sbti-target-dashboard,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Adidas AG,official_xlsx_import:safe_name_match,0.86,SBTi-Zieldaten; kein Nachweis tatsächlicher Emissionsreduktion.
uwpobs-42654095d4be801f,uwp100-adidas,Adidas,2024,Planet,Klima/Transformationspfad,sbti_near_term_target_year,SBTi Near-Term Zieljahr,2030,Jahr,A,sbti-target-dashboard,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Adidas AG,official_xlsx_import:safe_name_match,0.86,SBTi-Zieldaten; kein Nachweis tatsächlicher Emissionsreduktion.
uwpobs-c23abf59e4d1cabc,uwp100-adidas,Adidas,2024,Planet,Klima/Transformationspfad,sbti_target_classification_long,SBTi Zielklassifikation Langtext,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,Text,B,sbti-target-dashboard,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Adidas AG,official_xlsx_import:safe_name_match,0.86,SBTi-Zieldaten; kein Nachweis tatsächlicher Emissionsreduktion.
uwpobs-cc1f9736c2fa3c84,uwp100-adidas,Adidas,2023,Planet,Energie,wikirate_gri_energy_consumption,GRI 302-1 Total energy consumption,1780160.4,Gigajoules,C,wikirate-open-esg,https://wikirate.org/~18083494,https://wikirate.org/~18074958,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-df851cce75ecccf3,uwp100-adidas,Adidas,2019,Planet,Energie,wikirate_gri_energy_consumption,GRI 302-1 Total energy consumption,100271,Gigajoules,C,wikirate-open-esg,https://wikirate.org/~6032182,https://wikirate.org/~6032161,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-efe89283e3e404ce,uwp100-adidas,Adidas,2018,Planet,Energie,wikirate_gri_energy_consumption,GRI 302-1 Total energy consumption,256377,Gigajoules,C,wikirate-open-esg,https://wikirate.org/~6032186,https://wikirate.org/~5621504,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-f76d6e94cc867b20,uwp100-adidas,Adidas,2024,Planet,Klima/Emissionen,wikirate_gri_scope1_ghg,GRI 305-1 Scope 1 GHG emissions,20844,tonnes CO2 equivalent,C,wikirate-open-esg,https://wikirate.org/~22334336,https://wikirate.org/~21476311,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-7216a07c824b1d24,uwp100-adidas,Adidas,2023,Planet,Klima/Emissionen,wikirate_gri_scope1_ghg,GRI 305-1 Scope 1 GHG emissions,21779,tonnes CO2 equivalent,C,wikirate-open-esg,https://wikirate.org/~18083353,https://wikirate.org/~18074968,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-4a9d340c8c3e0ca8,uwp100-adidas,Adidas,2019,Planet,Klima/Emissionen,wikirate_gri_scope1_ghg,GRI 305-1 Scope 1 GHG emissions,6620,tonnes CO2 equivalent,C,wikirate-open-esg,https://wikirate.org/~6032167,https://wikirate.org/~6032161,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-262ae786d4968086,uwp100-adidas,Adidas,2023,Planet,Klima/Emissionen,wikirate_gri_scope2_ghg,GRI 305-2 Scope 2 GHG emissions,142457,tonnes CO2 equivalent,C,wikirate-open-esg,https://wikirate.org/~19246685,https://wikirate.org/~18074958,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-b19b575c527c2db9,uwp100-adidas,Adidas,2019,Planet,Klima/Emissionen,wikirate_gri_scope2_ghg,GRI 305-2 Scope 2 GHG emissions,21690,tonnes CO2 equivalent,C,wikirate-open-esg,https://wikirate.org/~6032178,https://wikirate.org/~6032161,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-8c350962b7c823a4,uwp100-adidas,Adidas,2023,Planet,Lieferkette/Klima,wikirate_gri_scope3_ghg,GRI 305-3 Scope 3 GHG emissions,5894811,tonnes CO2 equivalent,C,wikirate-open-esg,https://wikirate.org/~18083357,https://wikirate.org/~18074958,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-72e0e084c1bb0a10,uwp100-adidas,Adidas,2023,Planet,Abfall/Ressourcen,wikirate_gri_total_waste,GRI 306-2 Total waste generated,26382,tonnes,C,wikirate-open-esg,https://wikirate.org/~18083348,https://wikirate.org/~18074968,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-4d5a892e8d8d1aab,uwp100-adidas,Adidas,2020,Planet,Abfall/Ressourcen,wikirate_gri_total_waste,GRI 306-2 Total waste generated,32951,tonnes,C,wikirate-open-esg,https://wikirate.org/~14552922,https://wikirate.org/~14552892,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-9c7d215941c2293e,uwp100-adidas,Adidas,2019,Planet,Abfall/Ressourcen,wikirate_gri_total_waste,GRI 306-2 Total waste generated,2247,tonnes,C,wikirate-open-esg,https://wikirate.org/~7337115,https://wikirate.org/~7337089,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-acfe7b6a1e3a82d9,uwp100-adidas,Adidas,2018,Planet,Abfall/Ressourcen,wikirate_gri_total_waste,GRI 306-2 Total waste generated,72.38,tonnes,C,wikirate-open-esg,https://wikirate.org/~5621869,https://wikirate.org/~5621504,wikirate_bulk_csv_export,0.62,WikiRate Community-/Sekundärdaten; Antwortseite und Primärquelle prüfen.
uwpobs-2ec521c33fb75201,uwp100-adidas,Adidas,2024,Transformation,Net-Zero/Transformation,sbti_long_term_status,SBTi Long-Term Zielstatus,Targets set,Status,A,sbti-target-dashboard,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Adidas AG,official_xlsx_import:safe_name_match,0.86,SBTi-Zieldaten; kein Nachweis tatsächlicher Emissionsreduktion.
uwpobs-09744f603b36c3db,uwp100-adidas,Adidas,2024,Transformation,Net-Zero/Transformation,sbti_long_term_target_classification,SBTi Long-Term Zielklassifikation,1.5°C,Klassifikation,A,sbti-target-dashboard,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Adidas AG,official_xlsx_import:safe_name_match,0.86,SBTi-Zieldaten; kein Nachweis tatsächlicher Emissionsreduktion.
uwpobs-38566403634fed13,uwp100-adidas,Adidas,2024,Transformation,Net-Zero/Transformation,sbti_long_term_target_year,SBTi Long-Term Zieljahr,2050,Jahr,A,sbti-target-dashboard,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Adidas AG,official_xlsx_import:safe_name_match,0.86,SBTi-Zieldaten; kein Nachweis tatsächlicher Emissionsreduktion.
uwpobs-ffbcdd1cb081cb18,uwp100-adidas,Adidas,2024,Transformation,Net-Zero/Transformation,sbti_net_zero_status,SBTi Net-Zero Status,Targets set,Status,A,sbti-target-dashboard,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Adidas AG,official_xlsx_import:safe_name_match,0.86,SBTi-Zieldaten; kein Nachweis tatsächlicher Emissionsreduktion.
uwpobs-c3c0acddf59e6dfc,uwp100-adidas,Adidas,2024,Transformation,Net-Zero/Transformation,sbti_net_zero_year,SBTi Net-Zero Zieljahr,2050,Jahr,A,sbti-target-dashboard,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Adidas AG,official_xlsx_import:safe_name_match,0.86,SBTi-Zieldaten; kein Nachweis tatsächlicher Emissionsreduktion.
uwpobs-dec3098aec06f857,uwp100-adidas,Adidas,2024,Demokratie,Steuertransparenz,cbcr_tax_transparency,Country-by-Country Reporting / Steuertransparenz,,Status,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-30bf7209ed7382a7,uwp100-adidas,Adidas,2024,Demokratie,Datenschutz,data_privacy_incidents,Datenschutzverstöße / Bußgelder,,Anzahl/Status,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-9914fbdffead520d,uwp100-adidas,Adidas,2024,Demokratie,Lobbying/Einflussnahme,lobbying_transparency,Lobbying-Transparenz,,Status,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-9e311287c8698173,uwp100-adidas,Adidas,2024,Demokratie,Compliance/Whistleblowing,whistleblowing_cases,Whistleblowing-Fälle und Abhilfe,,Anzahl/Status,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
